bottle.id,casrn,chemical.id,chemical.name,plate.id,conc,well,EPR_max,MO24,any.effect,L1,D1,L2,D2,L3,D3,LPR_light_mean,LPR_dark_mean
P215706,50-32-8,1174,Benzo[a]pyrene,25484,1,F12,27.7995,0,0,0.882649990543724,24.8289000630379,0.883449999243022,21.6140000611543,0.711950004845867,12.6335001170635,0.826,19.692
P215706,50-32-8,1174,Benzo[a]pyrene,25484,0,G12,0,0,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25484,0,H12,11.0026,0,0,0.373399992473424,0,0.6072500012815,0.660149992257355,0.164700001478194,6.88030011579398,0.382,2.513
P215706,50-32-8,1174,Benzo[a]pyrene,25485,10,A01,NA,1,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,10,B01,NA,1,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,5,C01,48.6762,0,0,26.0555000640452,33.385100043565,2.85574999302626,33.2817500948906,2.01005001962185,16.6787500262261,10.307,27.782
P215706,50-32-8,1174,Benzo[a]pyrene,25485,5,D01,39.5833,0,0,0.795100004971029,2.57060005366803,0.434999989718199,10.1752499848604,1.88994998186829,14.4136998787522,1.04,9.053
P215706,50-32-8,1174,Benzo[a]pyrene,25485,1,E01,27.9948,0,0,0.298549997806549,21.3460500108078,1.03409999832511,19.4914499819279,0.757200001925236,21.233700029552,0.697,20.69
P215706,50-32-8,1174,Benzo[a]pyrene,25485,1,F01,33.5503,0,0,0.25885000154376,20.8771501611918,0.151399997994303,19.8308501716703,1.60649996623398,17.1722000251524,0.672,19.293
P215706,50-32-8,1174,Benzo[a]pyrene,25485,0,G01,22.3307,0,0,0.0793500006198883,15.2790999840945,0.755500004440544,8.37440000101924,1.34809997081759,1.11609999127686,0.728,8.257
P215706,50-32-8,1174,Benzo[a]pyrene,25485,0,H01,51.0199,0,0,0.442800003290176,35.0214997708798,1.5171999710612,40.519599583745,1.9672499984503,15.7732000194489,1.309,30.438
P215706,50-32-8,1174,Benzo[a]pyrene,25485,10,A02,NA,1,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,10,B02,NA,1,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,5,C02,17.079,0,2,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,5,D02,0.0217,0,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,1,E02,52.3654,0,0,0.349150004982947,24.219599852711,1.82939997911453,13.6906001262367,1.36259998232128,37.1973998382687,1.18,25.036
P215706,50-32-8,1174,Benzo[a]pyrene,25485,1,F02,28.3854,0,0,0.189000000804663,2.71399997007102,0.44729999303818,12.6433498546481,0.827450016140948,9.73270002007485,0.488,8.363
P215706,50-32-8,1174,Benzo[a]pyrene,25485,0,G02,40.9939,0,0,0.170200000703334,23.4449499640614,1.66995002031326,12.5570498149842,0.0499500012025237,10.6136501267552,0.63,15.539
P215706,50-32-8,1174,Benzo[a]pyrene,25485,0,H02,52.4306,0,0,0,2.15619998089969,0.0211000002920627,0.312100006639962,0.0112000003457069,24.0052000582218,0.011,8.825
P215706,50-32-8,1174,Benzo[a]pyrene,25485,10,A03,0,0,0,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,10,B03,NA,1,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,5,C03,52.0182,0,0,1.9456999540329,37.6060000836849,2.98229998871684,40.9121499925852,5.34065000936387,37.2653000831604,3.423,38.594
P215706,50-32-8,1174,Benzo[a]pyrene,25485,5,D03,40.4514,0,0,0.651900011301041,25.8001502133906,4.5102000169456,22.0485998854041,3.60069996081295,15.4983000323176,2.921,21.116
P215706,50-32-8,1174,Benzo[a]pyrene,25485,1,E03,38.2596,0,0,5.25355010926723,35.6607998341322,6.89460001923143,38.1409000895917,3.01799996197225,0.135499996691942,5.055,24.646
P215706,50-32-8,1174,Benzo[a]pyrene,25485,1,F03,58.1598,0,0,4.35919997394085,20.7568998930976,1.47499998286366,22.751050048694,2.90234996005894,29.8092999964952,2.912,24.439
P215706,50-32-8,1174,Benzo[a]pyrene,25485,0,G03,0.5208,0,6,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,0,H03,NA,1,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,10,A04,NA,1,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,10,B04,NA,1,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,5,C04,47.9601,0,0,13.6057999849319,46.0354000609368,5.73879997059701,37.4110997334123,2.04739998728038,28.4047499042004,7.131,37.284
P215706,50-32-8,1174,Benzo[a]pyrene,25485,5,D04,109.6354,0,0,1.47614998072386,38.4433003291488,4.93300001025199,35.8159498721361,4.80935001373293,41.8575999975204,3.74,38.706
P215706,50-32-8,1174,Benzo[a]pyrene,25485,1,E04,33.3767,0,0,0.0532499998807905,8.43254992496222,0.364550000429152,7.59944997113198,0.410049988701945,1.74564999099821,0.276,5.926
P215706,50-32-8,1174,Benzo[a]pyrene,25485,1,F04,20.0304,0,0,0,0,0.380600011348727,0,0,1.29740000460297,0.127,0.432
P215706,50-32-8,1174,Benzo[a]pyrene,25485,0,G04,58.7673,0,0,0.0108000002801418,6.24889995325357,1.05699999928474,6.35059988945722,0.213599999248983,3.4577000459656,0.427,5.352
P215706,50-32-8,1174,Benzo[a]pyrene,25485,0,H04,33.8107,0,0,0.0151999995112418,0.632850010693073,0.767750000581146,4.20619998276235,1.03705001100898,3.56284997211769,0.607,2.801
P215706,50-32-8,1174,Benzo[a]pyrene,25485,10,A05,NA,1,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,10,B05,0,0,0,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,5,C05,18.4028,0,0,2.67820003554225,13.2341501058079,2.40425001978873,7.73030004277823,1.11770000830293,9.46489996500314,2.067,10.143
P215706,50-32-8,1174,Benzo[a]pyrene,25485,5,D05,43.75,0,0,0.113499997556209,2.60270002298056,0.608599987626074,0,0,2.80349997151642,0.241,1.802
P215706,50-32-8,1174,Benzo[a]pyrene,25485,1,E05,35.6337,0,0,0.986050009727476,2.45900002326816,0.321900003403425,3.11440000012517,0.0829999983310712,1.75200000312179,0.464,2.442
P215706,50-32-8,1174,Benzo[a]pyrene,25485,1,F05,46.3542,0,0,0.558300016075372,4.19849997162819,0.843000000342729,10.1382499529049,0.223850000649689,0.99740000963211,0.542,5.111
P215706,50-32-8,1174,Benzo[a]pyrene,25485,0,G05,36.3715,0,0,0.0118000000715255,0.149500000476837,0.505900008603931,0.102500000596046,0.336399999260907,1.43270002529026,0.285,0.562
P215706,50-32-8,1174,Benzo[a]pyrene,25485,0,H05,56.8576,0,0,0.367300004512071,0,0,0.0114000000059606,0.0579999990761285,0.0149000003933906,0.142,0.009
P215706,50-32-8,1174,Benzo[a]pyrene,25485,10,A06,0,0,0,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,10,B06,NA,1,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,5,C06,42.7951,0,0,0.0660000026226043,32.7805499851704,4.58844998441636,34.3675498381257,2.47155002355576,24.3871500238776,2.375,30.512
P215706,50-32-8,1174,Benzo[a]pyrene,25485,5,D06,28.0165,0,0,0,1.48280000686645,0,0,0,0.263499999046327,0,0.582
P215706,50-32-8,1174,Benzo[a]pyrene,25485,1,E06,24.0885,0,0,0.496150001883504,19.5166499730199,2.28435003906488,21.8999500475824,1.43154998496177,20.3371502161026,1.404,20.585
P215706,50-32-8,1174,Benzo[a]pyrene,25485,1,F06,15.5382,0,0,0,2.37979997545481,0.329099999368191,0.730850008875135,0.277349998801949,4.68490000627933,0.202,2.599
P215706,50-32-8,1174,Benzo[a]pyrene,25485,0,G06,32.2266,0,0,0.556400009989739,0.460299994051456,0.636199994385242,0.238900005072355,0.00850000008940707,0,0.4,0.233
P215706,50-32-8,1174,Benzo[a]pyrene,25485,0,H06,0,0,4,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,10,A07,NA,1,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,10,B07,NA,1,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,5,C07,53.0165,0,0,0.00280000008642673,5.62329996488987,0.957500009983777,2.42049996852874,0.0995000004768367,1.36650000289082,0.353,3.137
P215706,50-32-8,1174,Benzo[a]pyrene,25485,5,D07,48.4592,0,0,8.78179997261614,19.7639499802142,0.766600004397331,0.260999989509582,0,1.19189999997617,3.183,7.072
P215706,50-32-8,1174,Benzo[a]pyrene,25485,1,E07,35.1996,0,0,0.282000000029802,6.58500000387429,1.37279995977878,0.0429000005126001,0.497300012409689,0.907399985939268,0.717,2.512
P215706,50-32-8,1174,Benzo[a]pyrene,25485,1,F07,0.1302,0,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,0,G07,26.8663,0,0,5.12190004512669,25.4498500347137,6.0363501187414,28.68569990471,1.678499981761,23.8731000108645,4.279,26.003
P215706,50-32-8,1174,Benzo[a]pyrene,25485,0,H07,57.2917,0,0,0.025799998641014,2.55910000409931,0.854399989545345,0.010700000077486,0,0,0.293,0.857
P215706,50-32-8,1174,Benzo[a]pyrene,25485,10,A08,NA,1,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,10,B08,NA,1,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,5,C08,27.7995,0,0,1.98409997224808,25.3664500176907,1.21675001382827,24.0784501075744,0.785150003433237,19.7530998811126,1.329,23.066
P215706,50-32-8,1174,Benzo[a]pyrene,25485,5,D08,47.9384,0,0,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,1,E08,19.8568,0,0,0.0119999997317791,0.503599997982385,0,0.0916000023484227,0,0,0.004,0.198
P215706,50-32-8,1174,Benzo[a]pyrene,25485,1,F08,20.6814,0,0,1.01689999625087,16.3243499062956,1.16944999694824,19.1503501154482,0.74245001077653,12.0158000662923,0.976,15.83
P215706,50-32-8,1174,Benzo[a]pyrene,25485,0,G08,38.2812,0,0,0.182099996507168,7.61230000555515,0.143800002336503,2.45219998282845,0.347799991816287,3.83059992697089,0.225,4.632
P215706,50-32-8,1174,Benzo[a]pyrene,25485,0,H08,35.3082,0,2,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,10,A09,NA,1,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,10,B09,NA,1,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,5,C09,27.6042,0,0,1.48524996042251,0.958100017160182,0.0329999998211861,0.781100003421306,0,0.0240000002086161,0.506,0.588
P215706,50-32-8,1174,Benzo[a]pyrene,25485,5,D09,0.1953,0,0,0.228499995917081,0,0.357800003886224,0.136399999260902,0.344499996304512,1.25880000405013,0.31,0.465
P215706,50-32-8,1174,Benzo[a]pyrene,25485,1,E09,56.7708,0,0,2.26735002063214,20.7436999335885,21.3556499868631,27.2474499046802,16.5081500098109,27.9084001362324,13.377,25.3
P215706,50-32-8,1174,Benzo[a]pyrene,25485,1,F09,28.1901,0,0,5.14124998264015,24.9850999526679,2.84199997922405,16.3174501000903,1.09259999841452,9.09150001965462,3.025,16.798
P215706,50-32-8,1174,Benzo[a]pyrene,25485,0,G09,0,0,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,0,H09,21.8967,0,0,0.493599998950956,14.7601999238133,0.0218999996781349,21.4904499150812,1.29445003420116,13.7584498871118,0.603,16.67
P215706,50-32-8,1174,Benzo[a]pyrene,25485,10,A10,NA,1,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,10,B10,NA,1,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,5,C10,46.4192,0,0,0.420700000226498,0.0542999997735022,0.515849994868039,0.953350003994997,0.0927999973297131,0.928499978780743,0.343,0.645
P215706,50-32-8,1174,Benzo[a]pyrene,25485,5,D10,56.6624,0,0,1.13010000288486,35.042899736017,1.95134998708963,30.0453498482704,4.89189985841518,32.0335001409054,2.658,32.374
P215706,50-32-8,1174,Benzo[a]pyrene,25485,1,E10,25.7378,0,0,0.33784999847412,11.4001999689266,0.0555000007152555,12.5811999130063,0.548299998044972,2.42060000896454,0.314,8.801
P215706,50-32-8,1174,Benzo[a]pyrene,25485,1,F10,37.8689,0,0,0.00434999987483023,21.048900103569,1.56310001835227,0.588299991935489,0.0461999990046024,9.63049999848007,0.538,10.423
P215706,50-32-8,1174,Benzo[a]pyrene,25485,0,G10,34.8308,0,0,0.0215499997138976,1.57940000072122,0.0499999999999998,2.4136499799788,0.113450000062585,6.08309999406337,0.062,3.359
P215706,50-32-8,1174,Benzo[a]pyrene,25485,0,H10,16.4063,0,0,0.0177499994635581,9.75955011467449,0.691249992651867,13.273800143227,0.0358999997377401,6.25364991351961,0.248,9.762
P215706,50-32-8,1174,Benzo[a]pyrene,25485,10,A11,NA,1,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,10,B11,0,0,0,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,5,C11,41.3195,0,0,0.660150001943111,21.465550032258,0.472949994727968,12.3473000712693,0.876749990135431,12.9611000359058,0.67,15.591
P215706,50-32-8,1174,Benzo[a]pyrene,25485,5,D11,3.2118,0,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,1,E11,11.8706,0,0,0.116700001060963,10.7519999206066,0.149600000679492,1.34500001110137,0.178400000184774,0.023700000345707,0.148,4.04
P215706,50-32-8,1174,Benzo[a]pyrene,25485,1,F11,55.7726,0,0,0.155349998176098,1.87849998623132,4.51609990745782,0.144300006330013,0.28990000933409,0.640100009739398,1.654,0.888
P215706,50-32-8,1174,Benzo[a]pyrene,25485,0,G11,46.9618,0,0,0.454200011491775,12.4660999837331,0.492199998348949,12.9949999697506,0.142300000786783,11.8357999667525,0.363,12.432
P215706,50-32-8,1174,Benzo[a]pyrene,25485,0,H11,29.1233,0,0,0,23.8117497203871,1.8645499318838,20.0554500319064,1.05104997977615,29.664100048691,0.972,24.51
P215706,50-32-8,1174,Benzo[a]pyrene,25485,10,A12,NA,1,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,10,B12,NA,1,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25485,5,C12,16.3411,0,0,0.187600000947714,1.18575000017882,0.634749992191792,1.88505001273006,3.78785002417862,1.42269998453558,1.537,1.498
P215706,50-32-8,1174,Benzo[a]pyrene,25485,5,D12,25.3255,0,0,0.123499999567866,0,0.171950003504753,0.0577500008046629,0.368200004100799,0.276499999314545,0.221,0.111
P215706,50-32-8,1174,Benzo[a]pyrene,25485,1,E12,27.3872,0,0,1.10085000228137,22.9307999104261,2.12074999846517,12.6940500136465,2.01534999385479,20.6551998618059,1.746,18.76
P215706,50-32-8,1174,Benzo[a]pyrene,25485,1,F12,16.059,0,0,0.43304999321699,29.3084998190403,1.27070000916719,29.7756000444293,0.621149989962582,24.498599909246,0.775,27.861
P215706,50-32-8,1174,Benzo[a]pyrene,25485,0,G12,35.8507,0,0,0,0.209900003671647,0.0272000014781953,0.496549989283085,0.624750009924175,0.783099985867742,0.217,0.497
P215706,50-32-8,1174,Benzo[a]pyrene,25485,0,H12,28.5591,0,0,0.394449996203184,10.8643999614753,1.24480000436306,0.250400002487001,0.334899996593599,0.256499999761581,0.658,3.79
